óÒî≠ìsìπï{åß,íËã`íl,çèÇ›,â^í¿äz01,â^í¿äz02,â^í¿äz03,â^í¿äz04,â^í¿äz05
çsíÖìsìπï{åß,,,01,03,04,02,07
01,10,,210,500,700,350,1030
01,20,,270,510,720,380,1170
01,9999,5,100,200,300,150,400
02,10,,210,500,700,350,1030
02,20,,270,510,720,380,1170
02,9999,5,100,200,300,150,400
03,10,,210,500,700,350,1030
03,20,,270,510,720,380,1170
03,9999,5,100,200,300,150,400
04,10,,210,500,700,350,1030
04,20,,270,510,720,380,1170
04,9999,5,100,200,300,150,400
07,10,,210,500,700,350,1030
07,20,,270,510,720,380,1170
07,9999,5,100,200,300,150,400




